date,cleaned_tweet,polarity,subjectivity,Sentiment,username,Base_tweet,language,hashtags,retweet_id,reply_to,nlikes,search,Bank,mean,rolling
2021-09-01 02:08:00,sme standard bank gauteng,0.0,0.0,Neutral,Bhekala1,SME - Standard Bank - Gauteng  https://t.co/Wsl8MTOGqv #joblinks #CV,en,"['joblinks', 'cv']",,[],0,"StandardBankZA OR ""Standard Bank""",StandardBank,0.0,0.0
2021-09-01 02:19:16,will sad realise many leaving nonsense,0.0,0.75,Neutral,Distillo28,@Nedbank You will be more sad when you realise that many more are leaving your nonsense,en,[],,"[{'screen_name': 'Nedbank', 'name': 'Nedbank', 'id': '349804439'}]",0,Nedbank,Nedbank,0.0,0.0
2021-09-01 02:20:20,justifiable,0.0,0.0,Neutral,Distillo28,@Nedbank Is that justifiable??,en,[],,"[{'screen_name': 'Nedbank', 'name': 'Nedbank', 'id': '349804439'}]",0,Nedbank,Nedbank,0.0,0.0
2021-09-01 02:25:09,dbn hi alondwe access app,0.0,0.0,Neutral,Nedbank,"@MAX__DBN Hi Alondwe, do you have access to our app ?",en,[],,"[{'screen_name': 'MAX__DBN', 'name': 'ALONDWE ❤️', 'id': '1355174958'}]",0,Nedbank,Nedbank,0.0,0.0
2021-09-01 02:28:51,thank taking time share awesome strategy best,1.0,0.65,Positive,Nedbank,"@LaniTib Thank you for taking the time to share your awesome strategy, all the best 💚",en,[],,"[{'screen_name': 'LaniTib', 'name': 'I HATE SOCIALISM', 'id': '1063749086921277440'}]",1,Nedbank,Nedbank,0.2,0.2
2021-09-01 02:32:39,comqwabe hello buhlebomnguni please send us dm details let us know applied reason application declined well look,0.0,0.0,Neutral,Nedbank,"@B_comQwabe Hello Buhlebomnguni, please send us a DM with your details and let us know when you had applied and the reason why your application had declined and we'll look into this for you.  https://t.co/YmCt2JeH7f",en,[],,"[{'screen_name': 'B_comQwabe', 'name': 'Buhlebomnguni Qwabe', 'id': '1926997830'}]",0,Nedbank,Nedbank,0.16666666666666666,0.16666666666666666
2021-09-01 02:38:48,know girl,0.0,0.0,Neutral,Nedbank,@annahpuleng You know it girl 💚,en,[],,"[{'screen_name': 'annahpuleng', 'name': 'puleng', 'id': '1430375832'}]",0,Nedbank,Nedbank,0.14285714285714285,0.14285714285714285
2021-09-01 02:41:16,nedbank,0.0,0.0,Neutral,loagotjale,Nedbank,en,[],,[],2,Nedbank,Nedbank,0.125,0.125
2021-09-01 02:50:17,love,0.5,0.6,Positive,BulungaZodwa,@FNBSA Love #FNB,en,['fnb'],,"[{'screen_name': 'FNBSA', 'name': 'FNB South Africa', 'id': '20422173'}]",0,FNBSA,FNB,0.16666666666666666,0.16666666666666666
2021-09-01 02:53:02,fierce iphone,0.0,0.0,Neutral,raymondts_,@LuyoloThando @Madem_Fierce @Zinhleputinn @Nedbank iPhone 📱,en,[],,"[{'screen_name': 'LuyoloThando', 'name': 'Thando Noganta', 'id': '1337631695206539265'}, {'screen_name': 'Madem_Fierce', 'name': 'Fierce', 'id': '1060666167872905218'}, {'screen_name': 'Zinhleputinn', 'name': 'Zinhle 🕊', 'id': '1391812757809414150'}, {'screen_name': 'Nedbank', 'name': 'Nedbank', 'id': '349804439'}]",0,Nedbank,Nedbank,0.15,0.15
2021-09-01 02:59:44,simply click details apply,0.0,0.35714285714285715,Neutral,Nedbank,@thsibanda Simply click here for more details and to apply;  https://t.co/5TKkAgTsX7  https://t.co/YmCt2JeH7f,en,[],,"[{'screen_name': 'thsibanda', 'name': 'mbacku🇲🇲', 'id': '884436696'}]",0,Nedbank,Nedbank,0.13636363636363635,0.13636363636363635
2021-09-01 03:00:57,season start things will start nedbank cup qualification rounds group clever boys fc cut mathaithai football club bloemfontein young tigers,0.13333333333333333,0.6166666666666667,Positive,MathaithaiC,"The Season is about to start, and all things will start with the Nedbank Cup Qualification rounds, we are in Group A  1. Clever boys FC 2. CUT 3. Mathaithai Football Club 4. Bloemfontein Young Tigers  https://t.co/KGGKzEVxXF",en,[],,[],0,Nedbank,Nedbank,0.1361111111111111,0.1361111111111111
2021-09-01 03:11:27,dbn happens mine,0.0,0.0,Neutral,Oh_Nile,@Nedbank @MAX__DBN This happens to mine too,en,[],,"[{'screen_name': 'Nedbank', 'name': 'Nedbank', 'id': '349804439'}, {'screen_name': 'MAX__DBN', 'name': 'ALONDWE ❤️', 'id': '1355174958'}]",0,Nedbank,Nedbank,0.12564102564102564,0.12564102564102564
2021-09-01 03:12:07,willl ewallets sassa start going,0.0,0.0,Neutral,ibhungu96,@FNBSA When willl e-wallets for sassa start going in ?,en,[],,[],0,FNBSA,FNB,0.11666666666666667,0.11666666666666667
2021-09-01 03:36:54,virtual card unauthorised debit working refund now second time problems mobile app whats gng guys,0.0,0.0,Neutral,mathanzimanzama,"@StandardBankArt @StandardBankZA @artsfestival My virtual card had unauthorised debit, working on the refund, now for the second time problems with mobile app , what’s gng on there guys",en,[],,"[{'screen_name': 'StandardBankArt', 'name': 'Standard Bank Arts', 'id': '115632296'}, {'screen_name': 'StandardBankZA', 'name': 'StandardBankZA', 'id': '56980888'}, {'screen_name': 'artsfestival', 'name': 'NationalArtsFestival', 'id': '20868135'}]",0,"StandardBankZA OR ""Standard Bank""",StandardBank,0.10888888888888888,0.10888888888888888
2021-09-01 03:55:13,kiddomusic kindly send us dm details well look concerns attend,0.6,0.9,Positive,Nedbank,@El_kiddo_music Kindly send us a DM with your details and we'll look into your concerns and attend further.,en,[],,"[{'screen_name': 'El_kiddo_music', 'name': 'El Kiddo music', 'id': '1280123852425768962'}]",0,Nedbank,Nedbank,0.13958333333333334,0.13958333333333334
2021-09-01 03:57:44,za days,0.0,0.0,Neutral,s_fearing,@Anele__ZA @Nedbank Few days.,en,[],,"[{'screen_name': 'Anele__ZA', 'name': 'ANELE ™', 'id': '2822143720'}, {'screen_name': 'Nedbank', 'name': 'Nedbank', 'id': '349804439'}]",0,Nedbank,Nedbank,0.13137254901960785,0.13137254901960785
2021-09-01 04:01:02,za bank branch already closed went internet standard bank costumer service contacts called gave number case number two three days time sorted,-0.05,0.05,Negative,s_fearing,"@Anele__ZA @Nedbank The bank branch was already closed, I just went to the internet to get Standard bank costumer service contacts, I called them and they gave me a number.. more like a case number in two to three days time it was sorted.",en,[],,"[{'screen_name': 'Anele__ZA', 'name': 'ANELE ™', 'id': '2822143720'}, {'screen_name': 'Nedbank', 'name': 'Nedbank', 'id': '349804439'}]",0,"StandardBankZA OR ""Standard Bank""",StandardBank,0.1212962962962963,0.1212962962962963
2021-09-01 04:01:02,za bank branch already closed went internet standard bank costumer service contacts called gave number case number two three days time sorted,-0.05,0.05,Negative,s_fearing,"@Anele__ZA @Nedbank The bank branch was already closed, I just went to the internet to get Standard bank costumer service contacts, I called them and they gave me a number.. more like a case number in two to three days time it was sorted.",en,[],,"[{'screen_name': 'Anele__ZA', 'name': 'ANELE ™', 'id': '2822143720'}, {'screen_name': 'Nedbank', 'name': 'Nedbank', 'id': '349804439'}]",0,Nedbank,Nedbank,0.11228070175438598,0.11228070175438598
2021-09-01 04:17:01,nicely said makayla thanks awesome tips,0.6,0.7333333333333334,Positive,Nedbank,"@MakaylaPil Nicely said Makayla, thanks for the awesome tips 💚",en,[],,"[{'screen_name': 'MakaylaPil', 'name': 'MakaDP', 'id': '861556141909835776'}]",0,Nedbank,Nedbank,0.1366666666666667,0.1366666666666667
2021-09-01 04:19:11,thrilled hear hard work paying bridgette,0.15416666666666665,0.6208333333333333,Positive,Nedbank,@BridgetteHondo We're thrilled to hear that your hard work is paying off Bridgette 💚,en,[],,"[{'screen_name': 'BridgetteHondo', 'name': 'Bridgette Hondo', 'id': '1344194088455827457'}]",0,Nedbank,Nedbank,0.13750000000000004,0.13750000000000004
2021-09-01 04:24:23,nile please send us dm details well look concerns attend,0.0,0.0,Neutral,Nedbank,@Oh_Nile Please send us a DM with your details and we'll look into your concerns and attend further.,en,[],,"[{'screen_name': 'Oh_Nile', 'name': '예쁜', 'id': '457251982'}]",0,Nedbank,Nedbank,0.13125000000000003,0.13125000000000003
2021-09-01 04:34:48,please allow us opportunity make right,0.2857142857142857,0.5357142857142857,Positive,Nedbank,@Distillo28 Please allow us the opportunity to make this right.,en,[],,"[{'screen_name': 'Distillo28', 'name': '♨️👥𝘿𝙞𝙨𝙩𝙞𝙡𝙡𝙤~𝙎𝙩𝙤𝙘𝙠𝙤𝙇𝙞𝙘𝙠𝙚𝙧👥♨️', 'id': '1299596742405640192'}]",0,Nedbank,Nedbank,0.1379658385093168,0.1379658385093168
2021-09-01 04:55:38,fierce iphone,0.0,0.0,Neutral,SIMBA58912083,@LuyoloThando @Madem_Fierce @Zinhleputinn @Nedbank iPhone can do that,en,[],,"[{'screen_name': 'LuyoloThando', 'name': 'Thando Noganta', 'id': '1337631695206539265'}, {'screen_name': 'Madem_Fierce', 'name': 'Fierce', 'id': '1060666167872905218'}, {'screen_name': 'Zinhleputinn', 'name': 'Zinhle \U0001f977🏽', 'id': '1391812757809414150'}, {'screen_name': 'Nedbank', 'name': 'Nedbank', 'id': '349804439'}]",0,Nedbank,Nedbank,0.13221726190476193,0.13221726190476193
2021-09-01 05:03:54,consultant standard bank gauteng,0.0,0.0,Neutral,Bhekala1,Consultant - Standard Bank - Gauteng  https://t.co/Bxy7gUl0Xv #CV #findwork,en,"['cv', 'findwork']",,[],0,"StandardBankZA OR ""Standard Bank""",StandardBank,0.12692857142857145,0.12692857142857145
2021-09-01 05:06:20,appreciate feedback st,0.0,0.0,Neutral,NedbankZimbabwe,@Zim183488038 @Nedbank @zesushv1 We appreciate the feedback  ^st,en,[],,"[{'screen_name': 'Zim183488038', 'name': 'Zim1🇿🇼', 'id': '1310818178428174336'}, {'screen_name': 'Nedbank', 'name': 'Nedbank', 'id': '349804439'}, {'screen_name': 'zesushv1', 'name': 'The known maskMan', 'id': '1375845058151387136'}]",2,Nedbank,Nedbank,0.12204670329670332,0.12204670329670332
2021-09-01 05:14:51,grow money cleaning people houses loan people money interest,0.0,0.0,Neutral,hlatse90,"@Nedbank I grow money by cleaning people's houses and I loan people money, with 10-15% interest. #TakeMoneySeriously",en,['takemoneyseriously'],,"[{'screen_name': 'Nedbank', 'name': 'Nedbank', 'id': '349804439'}]",0,Nedbank,Nedbank,0.11752645502645505,0.11752645502645505
2021-09-01 05:24:09,nedbank le,0.0,0.0,Neutral,TheRealFhumu_M,@LawukaziMatt Nedbank le 🤣,en,[],,"[{'screen_name': 'LawukaziMatt', 'name': 'MaTT_***', 'id': '188218548'}]",0,Nedbank,Nedbank,0.11332908163265308,0.11332908163265308
2021-09-01 05:29:13,fierce iphone,0.0,0.0,Neutral,Enhlebutterfly,@LuyoloThando @Madem_Fierce @Zinhleputinn @Nedbank I can on my IPhone,en,[],,"[{'screen_name': 'LuyoloThando', 'name': 'Thando Noganta', 'id': '1337631695206539265'}, {'screen_name': 'Madem_Fierce', 'name': 'Fierce', 'id': '1060666167872905218'}, {'screen_name': 'Zinhleputinn', 'name': 'Zinhle 🕊', 'id': '1391812757809414150'}, {'screen_name': 'Nedbank', 'name': 'Nedbank', 'id': '349804439'}]",2,Nedbank,Nedbank,0.10942118226600987,0.10942118226600987
2021-09-01 05:41:49,dbn download statement provides detailed breakdown debits credits,0.4,0.75,Positive,Nedbank,@MAX__DBN Did you download a statement as it provides a detailed breakdown of debits and credits.,en,[],,"[{'screen_name': 'MAX__DBN', 'name': 'ALONDWE ❤️', 'id': '1355174958'}]",0,Nedbank,Nedbank,0.11910714285714287,0.11910714285714287
2021-09-01 05:56:21,app still offline side,0.0,0.0,Neutral,seitlholo,@StandardBankZA No. The app is still offline on my side,en,[],,"[{'screen_name': 'StandardBankZA', 'name': 'StandardBankZA', 'id': '56980888'}]",0,"StandardBankZA OR ""Standard Bank""",StandardBank,0.11526497695852536,0.11526497695852536
2021-09-01 05:57:36,opened sa bank account h cards delivered need go bank stress free take note us dont time go bank work long hours,0.17500000000000002,0.6000000000000001,Positive,ThaCido88,"So, I just opened a @Discovery_SA bank account at 22H00 and the cards are being delivered.   No need to go to the bank at all. Stress free.  @Nedbank @CapitecBankSA take note. Some of us don't have time to go to the bank as we work long hours.",en,[],,[],0,Nedbank,Nedbank,0.11713169642857144,0.11713169642857144
2021-09-01 06:00:06,additional money really need apply nedbank overdraft nedbank money app send email helpdeskcosz alternatively call click link will take nedbank eswatini website,0.2,0.2,Positive,NedbankEswatini,"Get  additional money when you really need it. Apply for a Nedbank overdraft on the Nedbank Money app,  https://t.co/Sosad1t578 * or send an email to helpdesk@nedbank.co.sz. Alternatively call 2408 1251.  *If you click on the link, it will take you to the Nedbank Eswatini website  https://t.co/nRaD0zpk7l",en,[],,[],3,Nedbank,Nedbank,0.11964285714285716,0.11964285714285716
2021-09-01 06:03:01,may naive dont understand calm inform criminals used bank name amp fake bank documents evict amp steal home kagiso see common cause crime mpofu,-0.19999999999999998,0.8125,Negative,kennethmungeka1,I may be naive but i don't understand the calm when we inform @FNBSA that criminals used bank name &amp; fake bank documents to evict &amp; steal a home in Kagiso. I see Common cause crime @SAPoliceService ? @SakinaKamwendo @bonglez @AdvDali_Mpofu @AdvThembeka @eNCA @dailysunsa,en,[],,[],0,FNBSA,FNB,0.11024159663865547,0.11024159663865547
2021-09-01 06:04:02,good morning time today interview miss south africa pop quiz classic,0.4333333333333333,0.38333333333333336,Positive,947,"Good morning! It's time for #AneleAndTheClubOn947! 😎  TODAY 6:05 #15SecondChallenge⏲️ 6:20 [INTERVIEW] Miss South Africa @abigailmusida👑 6:44 R10,000 Pop Quiz with @StandardBankZA✅ 7:10 #BestSamoosaInJoburg🍴 7:32 #MoneyMinute 7:35 #SmallTalk🗣️ 8:11 Classic Or Not📀  https://t.co/eFbbZwcra3",en,"['aneleandtheclubon947', '15secondchallenge', 'bestsamoosainjoburg', 'moneyminute', 'smalltalk']",,[],7,"StandardBankZA OR ""Standard Bank""",StandardBank,0.11947278911564627,0.11947278911564627
2021-09-01 06:04:03,good morning time today interview miss south africa pop quiz classic,0.4333333333333333,0.38333333333333336,Positive,AneleAndTheClub,"Good morning! It's time for #AneleAndTheClubOn947! 😎  TODAY 6:05 #15SecondChallenge⏲️ 6:20 [INTERVIEW] Miss South Africa @abigailmusida👑 6:44 R10,000 Pop Quiz with @StandardBankZA ✅ 7:10 #BestSamoosaInJoburg🍴 7:32 #MoneyMinute 7:35 #SmallTalk🗣️ 8:11 Classic Or Not📀  https://t.co/Kzb4Dx79uy",en,"['aneleandtheclubon947', '15secondchallenge', 'bestsamoosainjoburg', 'moneyminute', 'smalltalk']",,[],9,"StandardBankZA OR ""Standard Bank""",StandardBank,0.1281911375661376,0.1281911375661376
2021-09-01 06:04:45,consultant standard bank gauteng,0.0,0.0,Neutral,Bhekala1,Consultant - Standard Bank - Gauteng  https://t.co/dlwsN6iyy8 #resume #jobs,en,"['resume', 'jobs']",,[],0,"StandardBankZA OR ""Standard Bank""",StandardBank,0.12472651222651225,0.12472651222651225
2021-09-01 06:06:26,every month end transfer saving pocket saved enough buy expensive things want instead putting debts,-0.25,0.6,Negative,ConradQuanita,@FNBSA Every month end I Transfer R500 to my Saving pocket and once I saved up enough i can buy the expensive things that i want instead of putting myself in debts. The #LoveFNB,en,['lovefnb'],,"[{'screen_name': 'FNBSA', 'name': 'FNB South Africa', 'id': '20422173'}]",0,FNBSA,FNB,0.11486528822055139,0.11486528822055139
