,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Bank
0,1431738386302349312,1431738386302349312,1630188006000.0,2021-08-29 00:00:06,+0200,,Standard Bank Pay Card is a Reloadable Mastercard and Visa - This is goldmine of info #prepaidcreditcard  https://t.co/CIWTHUBxpc,en,['prepaidcreditcard'],[],3286904341,3286904341,saprepaidcard,saprepaidcard,7,00,https://twitter.com/saprepaidcard/status/1431738386302349312,['http://saprepaidcreditcards.com/cards/view/241'],[],0,,False,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,[],,,,,StandardBank
1,1431733824006860812,1431733824006860812,1630186918000.0,2021-08-28 23:41:58,+0200,,Alteryx Users in UK - based on being listed on job adverts in last 7 days ( https://t.co/q6ymD7qC7Z)  #Alteryx #UK_Users #UKJobs   -Expleo -Cloudshift Group -Betway Group -PwC -Alteryx -KPMG -University of York -CACEIS -Knight Frank -Standard Bank -Dixons Carphone -Macquarie Group,en,"['alteryx', 'uk_users', 'ukjobs']",[],1132629710259806209,1132629710259806209,QlikAlt,Qlik-Alt-Tab,6,23,https://twitter.com/QlikAlt/status/1431733824006860812,['http://indeed.co.uk'],[],0,,False,0,1,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,[],,,,,StandardBank
2,1431733133712322561,1431733133712322561,1630186754000.0,2021-08-28 23:39:14,+0200,,【GTA5】パシフィック銀行強盗エリートチャレンジ（破壊担当）The Pacific Standard Bank Elite Challenge (Demoliton)- [8:45R*]【PS4】 https://t.co/4q2bSYrbMf #GTA5,ja,['gta5'],[],2357828917,2357828917,GTAOLOVER,𝘼𝙎𝙃𝘼𝙄𝙍𝙆 𝙎𝙏𝙍𝙀𝘼𝙈𝙄𝙉𝙂,6,23,https://twitter.com/GTAOLOVER/status/1431733133712322561,['https://youtu.be/135HFHzL2Ok'],[],0,,False,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,[],,,,,StandardBank
3,1431723092829777924,1431723092829777924,1630184360000.0,2021-08-28 22:59:20,+0200,,Standard Bank partners with Pick n Pay stores  https://t.co/xticvwnVgv,en,[],[],1120944621377466368,1120944621377466368,mufudzaonline,Mufudza Online,6,22,https://twitter.com/mufudzaonline/status/1431723092829777924,['https://www.mufudza.co.za/standard-bank-partners-with-pick-n-pay-stores/'],[],0,,False,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,[],,,,,StandardBank
4,1431718060755329024,1431718060755329024,1630183160000.0,2021-08-28 22:39:20,+0200,,【GTAO】パシフィック銀行強盗準備「バン」 調子よくいってたが最後に悪夢が待っていた （絶望の野良強盗編） Pacific Standard Bank Heist - Setup Van 【PS4】  https://t.co/TJbxfDX3y0 #GTA5,ja,['gta5'],[],2357828917,2357828917,GTAOLOVER,𝘼𝙎𝙃𝘼𝙄𝙍𝙆 𝙎𝙏𝙍𝙀𝘼𝙈𝙄𝙉𝙂,6,22,https://twitter.com/GTAOLOVER/status/1431718060755329024,['https://youtu.be/LGWLTlrnv-E'],[],0,,False,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,[],,,,,StandardBank
5,1431716813738553344,1431025688568639492,1630182863000.0,2021-08-28 22:34:23,+0200,,@Bekezel_Mbutho @OfficialSASSA Standard Bank,en,[],[],968540453397254145,968540453397254145,P3Nah_Paniki,P3Nah Paniki,6,22,https://twitter.com/P3Nah_Paniki/status/1431716813738553344,[],[],0,,False,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'Bekezel_Mbutho', 'name': 'Siyabonga Alphios Jr.', 'id': '849766603273244673'}, {'screen_name': 'OfficialSASSA', 'name': 'SASSA', 'id': '3065881695'}]",,,,,StandardBank
6,1431708833081069575,1431571487983640582,1630180960000.0,2021-08-28 22:02:40,+0200,,@nathinice__ •@StandardBankZA  •🍏11 •yes •@Vodacom,und,[],[],1187645951751667712,1187645951751667712,LebogangCS,Courtroom Godess . 👩🏽‍⚖️,6,22,https://twitter.com/LebogangCS/status/1431708833081069575,[],[],0,,False,1,0,1,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'nathinice__', 'name': 'Inkosi inathi✞', 'id': '1257243289276874757'}]",,,,,StandardBank
7,1431703662863261697,1431511228921360386,1630179727000.0,2021-08-28 21:42:07,+0200,,@StandardBankZA #HearherVoice #ItCanBe 👌🏼💙❤️,und,"['hearhervoice', 'itcanbe']",[],76272402,76272402,MoushZN,Moushumi Maharaj,6,21,https://twitter.com/MoushZN/status/1431703662863261697,[],[],0,,False,1,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'StandardBankZA', 'name': 'StandardBankZA', 'id': '56980888'}]",,,,,StandardBank
8,1431702874539573248,1431700681145126914,1630179539000.0,2021-08-28 21:38:59,+0200,,"@StandardBankZA Make sure Tebogo gets the, thank you",en,[],[],872127164971454464,872127164971454464,Sir_Sisko,Sisko,6,21,https://twitter.com/Sir_Sisko/status/1431702874539573248,[],[],0,,False,0,1,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'StandardBankZA', 'name': 'StandardBankZA', 'id': '56980888'}]",,,,,StandardBank
9,1431700681145126914,1431700681145126914,1630179016000.0,2021-08-28 21:30:16,+0200,,Ola @StandardBankZA thank for the AWESOMENESS service at Westonaria branch nd thank sis' Tebogo for me 🙏🏽✊🏾😊,en,[],[],872127164971454464,872127164971454464,Sir_Sisko,Sisko,6,21,https://twitter.com/Sir_Sisko/status/1431700681145126914,[],[],0,,False,0,1,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,[],,,,,StandardBank
