,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Bank
4973,1.43222E+18,1.43195E+18,1.6303E+12,2021/08/30 07:47,200,,"@StandardBankZA 1. Did cash send on internet banking and didn't get the voucher number 2. Did instant EFT transactions online Both, didn't get OTP.",en,[],[],250681981,250681981,bade2b,Lukhele B,1,7,https://twitter.com/bade2b/status/1432218339330375680,[],[],0,,FALSE,0,1,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'StandardBankZA', 'name': 'StandardBankZA', 'id': '56980888'}]",,,,,StandardBank
4972,1.43222E+18,1.43198E+18,1.6303E+12,2021/08/30 07:47,200,,@FeudAfrica @StandardBankZA @IAmSteveHarvey Scandal #FamilyFeudAfrica @IAmSteveHarvey #ItCanBe #PureSave,en,"['familyfeudafrica', 'itcanbe', 'puresave']",[],395432438,395432438,tshololove,Tsholofelo Khambule,1,7,https://twitter.com/tshololove/status/1432218414794293252,[],[],0,,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'FeudAfrica', 'name': 'Family Feud Africa', 'id': '1164876198276718595'}, {'screen_name': 'StandardBankZA', 'name': 'StandardBankZA', 'id': '56980888'}, {'screen_name': 'IAmSteveHarvey', 'name': 'Steve Harvey', 'id': '96846955'}]",,,,,StandardBank
4971,1.43222E+18,1.432E+18,1.6303E+12,2021/08/30 07:56,200,,@LawukaziMatt Standard bank 🤣🤣,en,[],[],1.38988E+18,1.38988E+18,Sarafin12732374,Sarafina,1,7,https://twitter.com/Sarafin12732374/status/1432220540115333122,[],[],0,,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'LawukaziMatt', 'name': 'MaTT_***', 'id': '188218548'}]",,,,,StandardBank
4970,1.43222E+18,1.43198E+18,1.6303E+12,2021/08/30 07:56,200,,@FeudAfrica @StandardBankZA @IAmSteveHarvey House of zwide,de,[],[],7.37267E+17,7.37267E+17,Ntobekosya,NTOBEKO,1,7,https://twitter.com/Ntobekosya/status/1432220684877504513,[],[],0,,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'FeudAfrica', 'name': 'Family Feud Africa', 'id': '1164876198276718595'}, {'screen_name': 'StandardBankZA', 'name': 'StandardBankZA', 'id': '56980888'}, {'screen_name': 'IAmSteveHarvey', 'name': 'Steve Harvey', 'id': '96846955'}]",,,,,StandardBank
4969,1.43222E+18,1.43222E+18,1.6303E+12,2021/08/30 08:03,200,,Debt Review Restructure Officer - Standard Bank - Gauteng  https://t.co/U7sfk8N09I #findwork #jobs,en,"['findwork', 'jobs']",[],1.29787E+18,1.29787E+18,Bhekala1,Bhekala,1,8,https://twitter.com/Bhekala1/status/1432222509538160641,['https://jobs.bhekala.co.za/news/debt-review-restructure-officer-standard-bank-gauteng?uid=133956'],[],0,,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,[],,,,,StandardBank
4968,1.43222E+18,1.43222E+18,1.6303E+12,2021/08/30 08:07,200,,Standard Bank Holiday weather today. Pissing down  https://t.co/xDZ8pVAH25,en,[],[],50572943,50572943,GashDoyle,Gary Doyle,1,8,https://twitter.com/GashDoyle/status/1432223531954319363,[],['https://pbs.twimg.com/tweet_video_thumb/E-BHtQWXoAgHtFt.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E-BHtQWXoAgHtFt.jpg,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,[],,,,,StandardBank
4967,1.43222E+18,1.43198E+18,1.6303E+12,2021/08/30 08:13,200,,@FeudAfrica @StandardBankZA @IAmSteveHarvey #FamilyFuedSA  SCANDAL for the win 🤞 #FamilyFuedAfrica @IAmSteveHarvey  #ItCanBe  #PureSave,en,"['familyfuedsa', 'familyfuedafrica', 'itcanbe', 'puresave']",[],9.58393E+17,9.58393E+17,beau_johnson_09,Beaulande Johnson,1,8,https://twitter.com/beau_johnson_09/status/1432224941324316673,[],[],0,,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'FeudAfrica', 'name': 'Family Feud Africa', 'id': '1164876198276718595'}, {'screen_name': 'StandardBankZA', 'name': 'StandardBankZA', 'id': '56980888'}, {'screen_name': 'IAmSteveHarvey', 'name': 'Steve Harvey', 'id': '96846955'}]",,,,,StandardBank
4966,1.43223E+18,1.43223E+18,1.6303E+12,2021/08/30 08:15,200,,"Another 4 sale in executions, 2 Standard Bank &amp; 2 ABSA bites the dust. These banks are aware that the increase in interest rates when clients default with payments are illegal, but still continue with execution without correcting such accounts which is the correct way to do.",en,[],[],1351106540,1351106540,interrec,Emerald van Zyl,1,8,https://twitter.com/interrec/status/1432225405189201920,[],[],0,,FALSE,153,5,72,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,[],,,,,StandardBank
4965,1.43223E+18,1.43198E+18,1.6303E+12,2021/08/30 08:18,200,,@FeudAfrica @StandardBankZA @IAmSteveHarvey Scandal,en,[],[],393870609,393870609,Malandanane,Thando landanane,1,8,https://twitter.com/Malandanane/status/1432226320759537664,[],[],0,,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'FeudAfrica', 'name': 'Family Feud Africa', 'id': '1164876198276718595'}, {'screen_name': 'StandardBankZA', 'name': 'StandardBankZA', 'id': '56980888'}, {'screen_name': 'IAmSteveHarvey', 'name': 'Steve Harvey', 'id': '96846955'}]",,,,,StandardBank
4964,1.43223E+18,1.43223E+18,1.6303E+12,2021/08/30 08:20,200,,"@StandardBankZA is, there a way I can have my bank statement via email,?? Or app?",en,[],[],133851322,133851322,TheMuzinator,Muzitov Mlondovic,1,8,https://twitter.com/TheMuzinator/status/1432226700176277509,[],[],0,,FALSE,0,1,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,[],,,,,StandardBank
4963,1.43223E+18,1.432E+18,1.6303E+12,2021/08/30 08:23,200,,@LawukaziMatt @StandardBankZA I'm sure they are the best bank ever the,en,[],[],1.01849E+18,1.01849E+18,Tshepo77692114,Tshepo Rozani,1,8,https://twitter.com/Tshepo77692114/status/1432227334560567296,[],[],0,,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'LawukaziMatt', 'name': 'MaTT_***', 'id': '188218548'}]",,,,,StandardBank
4962,1.43223E+18,1.432E+18,1.6303E+12,2021/08/30 08:24,200,,@LawukaziMatt That must be @StandardBankZA they are the best bank ever they know our needs I've done lot of thing with them i know ngama R10 bayawakhiqiza awudingi ushintshi,en,[],[],1.01849E+18,1.01849E+18,Tshepo77692114,Tshepo Rozani,1,8,https://twitter.com/Tshepo77692114/status/1432227769673474049,[],[],0,,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'LawukaziMatt', 'name': 'MaTT_***', 'id': '188218548'}]",,,,,StandardBank
4961,1.43223E+18,1.43198E+18,1.6303E+12,2021/08/30 08:25,200,,@FeudAfrica @StandardBankZA @IAmSteveHarvey Standard bank,en,[],[],1.4241E+18,1.4241E+18,Hlongwa48841954,Hlongwane,1,8,https://twitter.com/Hlongwa48841954/status/1432227910958653441,[],[],0,,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'FeudAfrica', 'name': 'Family Feud Africa', 'id': '1164876198276718595'}, {'screen_name': 'StandardBankZA', 'name': 'StandardBankZA', 'id': '56980888'}, {'screen_name': 'IAmSteveHarvey', 'name': 'Steve Harvey', 'id': '96846955'}]",,,,,StandardBank
4960,1.43223E+18,1.432E+18,1.6303E+12,2021/08/30 08:29,200,,@LawukaziMatt @TheRealMotase_ Standard Bank,en,[],[],8.92469E+17,8.92469E+17,J_swegga,Check my pinned tweet🙏🏽,1,8,https://twitter.com/J_swegga/status/1432228927729197062,[],[],0,,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'LawukaziMatt', 'name': 'MaTT_***', 'id': '188218548'}, {'screen_name': 'TheRealMotase_', 'name': '♡MOTASE♡', 'id': '1362083065992986629'}]",,,,,StandardBank
4959,1.43223E+18,1.432E+18,1.63031E+12,2021/08/30 08:33,200,,@LawukaziMatt Standard bank,en,[],[],1.111E+18,1.111E+18,Karabo_modikeng,Karabo.,1,8,https://twitter.com/Karabo_modikeng/status/1432229906474283008,[],[],0,,FALSE,0,0,0,,"StandardBankZA OR ""Standard Bank"" OR ""standard bank""",,,,,,,"[{'screen_name': 'LawukaziMatt', 'name': 'MaTT_***', 'id': '188218548'}]",,,,,StandardBank
