,cleaned_tweet,polarity,subjectivity,Sentiment,date,username,Base_tweet,hashtags,nlikes,search
0,standard bank nedbank grey advertising support unicef assist kzn gauteng communities,-0.025,0.05,Negative,2021-08-18 18:01:33,business_see,"Standard Bank, Nedbank and Grey Advertising support Unicef to assist KZN and Gauteng communities  https://t.co/hn17RkcW05",[],0,"StandardBankZA OR ""Standard Bank"""
1,standard bank nedbank grey advertising support unicef assist kzn gauteng communities,-0.025,0.05,Negative,2021-08-18 18:01:30,DataDotcoaza,"Standard Bank, Nedbank and Grey Advertising support Unicef to assist KZN and Gauteng communities  https://t.co/iXGubk4BAG",[],0,"StandardBankZA OR ""Standard Bank"""
2,standard bank gift card nonreloadable mastercard visa goldmine info,0.0,0.0,Neutral,2021-08-18 18:00:34,saprepaidcard,Standard Bank Gift Card is a Non-Reloadable Mastercard and Visa - This is goldmine of info #prepaidcreditcard  https://t.co/BiTyeTBPgO,['prepaidcreditcard'],0,"StandardBankZA OR ""Standard Bank"""
3,dear im expecting monies government owing please let know sms theyve deposited,0.0,0.0,Neutral,2021-08-18 17:58:02,iMambaZN,Dear @StandardBankZA  im expecting my monies the government is owing me. Please let me know by sms when they've deposited them.  https://t.co/C93YpjSHRZ,[],0,"StandardBankZA OR ""Standard Bank"""
4,worst thing happened today trans declined spoint went acc nowi wouldnt worried said use worst bank im worried using money b back,-0.6666666666666666,0.6666666666666666,Negative,2021-08-18 17:56:53,EmmsWaRakau,"The worst thing happened today @Makro_SA .Trans declined on their s.point but went through on my acc. Now,I wouldn't be worried but after what @Karabo_Mokgoko said + they use the worst bank ever @StandardBankZA .I'm very worried. If they were using @FNBSA my money would b back🤦‍♀️",[],0,"StandardBankZA OR ""Standard Bank"""
5,hi longer appears banking app,0.0,0.0,Neutral,2021-08-18 17:49:32,Meesha1112,@StandardBankZA Hi. It no longer appears on my Banking app,[],0,"StandardBankZA OR ""Standard Bank"""
6,,0.0,0.0,Neutral,2021-08-18 17:40:05,Rhulani46078929,@StandardBankZA All the above,[],0,"StandardBankZA OR ""Standard Bank"""
7,standard bank transferred recipient mondaygtnothing yet received end weds thanks sb really glad bank,0.2333333333333333,0.39999999999999997,Positive,2021-08-18 17:30:01,NickZThomas,STANDARD BANK R500 transferred to recipient by me  on MONDAY&gt;NOTHING yet received end WEDS!!!! Thanks SB. Really glad I bank with you!!,[],0,"StandardBankZA OR ""Standard Bank"""
8,capitec capitec savings plans standard bank fnb,0.0,0.0,Neutral,2021-08-18 17:20:08,Setsoto16,@MfokaMqulusi Capitec R133.16 Capitec Savings Plans R16 893.91 Standard Bank R2 661.34 Fnb R8 598.12,[],1,"StandardBankZA OR ""Standard Bank"""
9,dischem rewards retailer best earn points spend dischem extra dischem vouchers via goals amp gains using standard bank app,0.3333333333333333,0.13333333333333333,Positive,2021-08-18 17:19:26,neilms3,"Dis-Chem as a rewards retailer on #UCount is just about the best ever.  Not only do I earn points, which I can also spend at Dis-Chem, but I get extra Dis-Chem vouchers via Goals &amp; Gains using the Standard Bank app. #UCount, #DisChem  https://t.co/jVUGv1ZoRE","['ucount', 'ucount', 'dischem']",0,"StandardBankZA OR ""Standard Bank"""
10,guys serious assist answering question,-0.3333333333333333,0.6666666666666666,Negative,2021-08-18 17:16:43,Amaru24,@StandardBankZA You guys are not serious. Assist me by answering my question.,[],0,"StandardBankZA OR ""Standard Bank"""
11,,0.0,0.0,Neutral,2021-08-18 17:16:09,Amaru24,@StandardBankZA 😂,[],0,"StandardBankZA OR ""Standard Bank"""
12,will,0.0,0.0,Neutral,2021-08-18 17:14:50,_Londz,@StandardBankZA Will do,[],0,"StandardBankZA OR ""Standard Bank"""
13,claim taken whole month called sent emails went brunch still nothing cause race,0.2,0.4,Positive,2021-08-18 17:12:07,Khukhulela045,@StandardBankZA My  claim was not taken and it's been a whole month I called sent emails went to the brunch but still nothing Cause I of my race,[],0,"StandardBankZA OR ""Standard Bank"""
14,mobile banking vans available serve available vans standard bank nedbank absa,0.26666666666666666,0.26666666666666666,Positive,2021-08-18 17:06:59,Fuegoworldwide5,Mobile Banking Vans are available at #UmlaziMegaCity to serve you.   Available vans: Standard bank Nedbank Absa  https://t.co/uybuUGWTde,['umlazimegacity'],0,"StandardBankZA OR ""Standard Bank"""
15,call center agent always standard bank gauteng,-0.05,0.05,Negative,2021-08-18 17:06:16,Bhekala1,Call Center Agent Always On - Standard Bank - Gauteng  https://t.co/wtc03pjii5 #findwork #joblinks,"['findwork', 'joblinks']",0,"StandardBankZA OR ""Standard Bank"""
16,ill open standard bank next week thanks,-0.06,0.33999999999999997,Negative,2021-08-18 17:05:45,ntokoziie,@ProTwoolz Then I’ll also open at standard bank next week. Thanks,[],1,"StandardBankZA OR ""Standard Bank"""
17,competitions win money back phela charges steep dololo competitions side maybe data give away sorts instead unpaid polls alway hook boy something,0.3333333333333333,0.26666666666666666,Positive,2021-08-18 17:03:20,interlektual,@StandardBankZA @standardbankZA when are you having competitions so we can win our money back. Phela your charges are steep but dololo competitions on you side. Maybe a data give away of sorts instead of these unpaid polls you alway do. Hook your boy up with something,[],0,"StandardBankZA OR ""Standard Bank"""
18,standard bank,0.0,0.0,Neutral,2021-08-18 17:00:57,Tanta_Seseli,@MfokaMqulusi -R104 standard bank,[],0,"StandardBankZA OR ""Standard Bank"""
19,service yase yimbi didnt know close account take years still requested go back branch failed assist years ago,-0.25,0.15,Negative,2021-08-18 16:59:18,Phumy_Maleka,Service yase @StandardBankZA yimbi. 🚮  I didn't know that to close an account can take 2 years and still be requested to go back to the branch that failed to assist me 2 years ago. 👏🏽,[],0,"StandardBankZA OR ""Standard Bank"""
20,opened standard bank account last week didnt require thatalso tyme bank doesnt need one,0.0,0.03333333333333333,Neutral,2021-08-18 16:59:01,ProTwoolz,opened standard bank account last week they didn't require that..also tyme bank doesn't need one,[],2,"StandardBankZA OR ""Standard Bank"""
