,tweet,polarity,subjectivity,Sentiment
0,lovefnb,0.0,0.0,Neutral
1,kindly check dm,0.6,0.9,Positive
2,lovefnb exciting pay debt faster,0.3,0.8,Positive
3,misa nominate lovefnb pinned tweet,0.0,0.0,Neutral
4,daughter sells atchar vegetables lovefnb,0.0,0.0,Neutral
5,lovefnb longterm goal finish studies open registered practice physiotherapist,0.0,0.5,Neutral
6,please plea didnt take loan youstop sending messages,0.0,0.0,Neutral
7,woman business industry sells hair jewelry apartments force lovefnb,0.0,0.0,Neutral
8,,0.0,0.0,Neutral
9,moved accounts years ago cheque credit amp home loan today see fit put transactional hold account dont proof address,0.4,0.4,Positive
10,lovefnb,0.0,0.0,Neutral
11,agree opportunity listen speak business forum years ago impressed almost adopted mother,1.0,1.0,Positive
12,follow instructions rude letter erm letter use vodacom pty ltd account number reference says sorry cant pay account allowed hard try accounts guess,-0.36388888888888893,0.7138888888888889,Negative
13,looking community suffers photocopy printing cv applying scholarships must take taxi town far sometime hard even taxi fare got planning build internet cafe saving buy site now lovefnb,-0.2638888888888889,0.7472222222222222,Negative
14,saving buy site internet cafe back home coming rural area struggle lot things want make things easy young apply jobs schools etc lovefnb,0.13333333333333333,0.30833333333333335,Positive
15,yinton decline foreign le iyi nina huh,-0.125,0.125,Negative
16,thatom haibooooo standard bank coz got em look pretty infact im waiting go collect new card old one expiring month end,0.12159090909090908,0.41363636363636364,Positive
17,dont think advice good especially use strong randomly generated passwords stored securely password manager whats far worse blocking logging forcing manually enter password,0.10476190476190475,0.719047619047619,Positive
18,savings account good kids something notice need withdraw lovefnb,0.7,0.6000000000000001,Positive
19,vhomatamela kha vha nthuse wee,0.0,0.0,Neutral
20,saving buy site start building internet cafe already started paying building materials still building materials suppliers lovefnb,0.0,0.0,Neutral
21,lovefnb,0.0,0.0,Neutral
22,want studies preschool teacher lovefnb,0.0,0.0,Neutral
23,mahazard big things decksneed keep eyes locked brilliance,0.0,0.1,Neutral
24,come private banking wena will vip treatment reason,0.0,0.375,Neutral
25,,0.0,0.0,Neutral
26,making dream come true owning truck lovefnb,0.35,0.65,Positive
27,dryden share sentiments ebucks become scam ways,0.0,0.0,Neutral
28,call venda name,0.0,0.0,Neutral
29,whats point private banker back days later fnb,0.0,0.125,Neutral
30,lovefnb,0.0,0.0,Neutral
31,build mother house move family shack living born deserves new house happy lovefnb,0.4681818181818182,0.7272727272727273,Positive
32,cindy friend,0.0,0.0,Neutral
33,dont know scream swear hide expect ok query mail returned name followed accidental death one line death threat wtf staff included thinks ok,0.16666666666666666,0.6666666666666666,Positive
34,financial freedom lovefnb,0.0,0.0,Neutral
35,long term goal lovefnb want build mother house move family shack living years thing im focusing right now ive cut spendings,0.11785714285714285,0.46785714285714286,Positive
36,owns african fashion business specializes traditional wear accessories showcasing african traditional wear proudly businesses makes us proud heritage africans lovefnb ig,0.26666666666666666,0.5833333333333334,Positive
37,lovefnb,0.0,0.0,Neutral
38,may share link ur location wanna come tomorrow ke dula ko zone b,0.0,0.0,Neutral
39,wasnt official launch apple pay months ago march,0.0,0.0,Neutral
40,electrical appliances repair business amp day amp age think takes superwoman keep motivated amp pushing woman man worldthis woman month arent beauty brains lovefnb,0.0,0.0,Neutral
41,lovefnb,0.0,0.0,Neutral
42,kgopela le ntlatse ka fela,0.0,0.0,Neutral
43,smit kicked winning penalty lions series think amp signed springboks jersey fnblovesrugby,0.5,0.75,Positive
44,final score st test tell us think final score st test won sa lions series amp signed british amp irish lions jersey fnblovesrugby,0.0,0.5,Neutral
45,final score st test tell us think final score st test won sa lions series amp signed british amp irish lions jersey fnblovesrugby,0.0,0.5,Neutral
46,,0.0,0.0,Neutral
47,smit kicked winning penalty lions series think amp signed springboks jersey fnblovesrugby,0.5,0.75,Positive
48,lovefnb,0.0,0.0,Neutral
49,want provide ploughing machines farmers renting small farmers renting machines planning close gab community service lovefnb,-0.25,0.4,Negative
50,long term goals buy rent ploughing equipments farmers instead going rent ploughing machines towns huge gab will close bit bit lovefnb,0.17500000000000004,0.65,Positive
51,ribbon place managed land lindt contract previously belonged international manufacturers now done locally last years ensuring steady income unemployed women height pandemic lovefnb,0.0,0.18333333333333335,Neutral
52,skin lovefnb,0.0,0.0,Neutral
53,bscare company owned black woman making body skin care products products skin lighting repairing skin natural condition removing dead skin give natural glow deserves instagram bscare,-0.041666666666666664,0.4083333333333333,Negative
54,new cards yet,0.13636363636363635,0.45454545454545453,Positive
55,long term goal im saving invest buying ploughing equipments rent see farmers renting town want close gab huge opportunity lovefnb,0.17500000000000004,0.65,Positive
56,honor innovative pioneering grandmothers will continue thank,0.5,1.0,Positive
57,hair needs lovefnb,0.0,0.0,Neutral
58,definitely m lovefnb,0.0,0.5,Neutral
59,goals save money yr old son go tertiary finishes matric study help fnb lovefnb,0.1,0.2,Positive
60,makeup beauty lovefnb,0.0,0.0,Neutral
61,fixes electrical appliances free around community lovefnb,0.4,0.8,Positive
62,cookies yummy cookies fat cakes lovefnb,0.0,0.0,Neutral
63,takes years build brand reputation organisation takes minute destroy open letter jacques cilliers goodbye via,-0.1,0.25,Negative
64,house kids lovefnb,0.0,0.0,Neutral
65,makes satin bonnets natural hair queens affordable price lovefnb,0.1,0.4,Positive
66,congratulations,0.0,0.0,Neutral
67,co lovefnb,0.0,0.0,Neutral
68,lovefnb,0.0,0.0,Neutral
69,saving towards getting licence lovefnb,0.0,0.0,Neutral
70,lovefnb,0.0,0.0,Neutral
71,fnbdolivhuright fnbdolivhuright fnbdolivhuright fnbdolivhuright fnbdolivhuright fnbdolivhuright fnbdolivhuright fnbdolivhuright,0.0,0.0,Neutral
72,luck lovefnb,0.0,0.0,Neutral
73,lovefnb,0.0,0.0,Neutral
74,lovefnb,0.0,0.0,Neutral
75,lovefnb,0.0,0.0,Neutral
76,barbara moscicki sells stationery office stock etc strong willed business women doesnt stand back goes extra mile towards making business success,0.18333333333333332,0.20833333333333331,Positive
77,lovefnb,0.0,0.0,Neutral
78,lovefnb,0.0,0.0,Neutral
79,,0.0,0.0,Neutral
80,creates luxurious heavenly scented organic shea butter hair amp body products,0.0,0.0,Neutral
81,made things easy helping touching covid time safe secure payment transactions time streamlined payment solutions makes business next level accept mobile payments expensive hardware needed lovefnb,0.22222222222222224,0.5222222222222223,Positive
82,congratulations,0.0,0.0,Neutral
83,shivanda lovefnb,0.0,0.0,Neutral
84,congratulations,0.0,0.0,Neutral
85,finishing house home planning pay fees education lovefnb,0.0,0.0,Neutral
86,hi sent details reply,0.0,0.0,Neutral
87,im saving kids studies lovefnb,0.0,0.0,Neutral
88,congratulations,0.0,0.0,Neutral
89,mahlangu selling atchaar shes hardworking lovefnb,0.0,0.0,Neutral
90,lovefnb,0.0,0.0,Neutral
91,lovefnb icebolethu group,0.0,0.0,Neutral
92,going back college finish studies lovefnb,0.0,0.0,Neutral
93,saving build momma house lovefnb,0.0,0.0,Neutral
94,lnmko kjj,0.0,0.0,Neutral
95,congrats,0.0,0.0,Neutral
96,congratulations,0.0,0.0,Neutral
97,lovefnb,0.0,0.0,Neutral
98,lovefnb getting stand family,0.0,0.0,Neutral
99,lovefnb,0.0,0.0,Neutral
100,thanks,0.2,0.2,Positive
101,lovefnb,0.0,0.0,Neutral
102,nominate pursued business beauty industry young age vision create affordable make line south african consumers years old already awarded forbes woman africa young achiever lovefnb,0.07500000000000001,0.25,Positive
103,dear twitter family help job plug fellow brother sisters im based pretoria tough id appreciate help,-0.3888888888888889,0.8333333333333334,Negative
104,lovefnb,0.0,0.0,Neutral
105,congratulations sma lovefnb,0.0,0.0,Neutral
106,lovefnb,0.0,0.0,Neutral
107,lovefnb,0.0,0.0,Neutral
108,congratulations,0.0,0.0,Neutral
109,lovefnb,0.0,0.0,Neutral
110,long term exciting investment travel mauritius lovefnb,0.125,0.6000000000000001,Positive
111,persona,0.0,0.0,Neutral
112,still service now charged banking fees month ridiculous service,-0.3333333333333333,1.0,Negative
113,thank,0.0,0.0,Neutral
114,lovefnb,0.0,0.0,Neutral
115,lovefnb saving kids studies,0.0,0.0,Neutral
116,saving kids education lovefnb,0.0,0.0,Neutral
117,sister mpho selling perfumes lovefnb,0.0,0.0,Neutral
118,lovefnb want see self invested much daughter go university wants study,0.2,0.15000000000000002,Positive
119,lovefnb,0.0,0.0,Neutral
120,saving change vacation essential worker hard need time see wonders world beautiful south africa unwind recharge lovefnb,0.18611111111111112,0.6138888888888888,Positive
121,im nominating brand creatively designs handcraft modern unique traditional shoe designs women cultural backgrounds love cultural fashion,0.2535714285714286,0.55,Positive
122,lovefnb,0.0,0.0,Neutral
123,goal save money study im currently unemployed tertiary benefits lovefnb,0.0,0.4,Neutral
124,finishing business management studies lovefnb,0.0,0.0,Neutral
125,boss open baking business lovefnb,0.0,0.5,Neutral
126,building house child lovefnb,0.0,0.0,Neutral
127,love take wife trip durban zanzibar lovefnb,0.5,0.6,Positive
128,lovefnb mama,0.0,0.0,Neutral
129,license lovefnb,0.0,0.0,Neutral
130,easy lovefnb,0.43333333333333335,0.8333333333333334,Positive
131,lovefnb definately furthering studies unisa super excited long hours books going take time used looking forward challenge,0.21944444444444441,0.6055555555555555,Positive
132,start small lovefnb,-0.25,0.4,Negative
133,saving sister unvailing lovefnb,0.0,0.0,Neutral
134,mum lost job covid result started baking business try supplement income mums business grown extent currently supplying local coffee shops baked treats lovefnb,0.0,0.2,Neutral
135,saving erect atombstone late little sister yearslovefnb,-0.24375,0.55,Negative
136,newspaper access accounts,0.0,0.0,Neutral
137,transact go lovefnb,0.0,0.0,Neutral
138,lovefnb invest old age hope,0.1,0.2,Positive
139,lovefnb,0.0,0.0,Neutral
140,lovefnb,0.0,0.0,Neutral
141,invest education lovefnb,0.0,0.0,Neutral
142,lovefnb,0.0,0.0,Neutral
143,erecting tombstone lovefnb,0.0,0.0,Neutral
144,lovefnb,0.0,0.0,Neutral
145,lovefnb,0.0,0.0,Neutral
146,debt free lovefnb,0.4,0.8,Positive
147,building home family lovefnb,0.0,0.0,Neutral
148,lovefnb,0.0,0.0,Neutral
149,per month premier banking go branch statement take fnb lawyers much technology,0.2,0.2,Positive
150,life easier need take longer looking card lovefnb,0.0,0.0,Neutral
151,wonders world compound growth fnb investments definitely topeight start saving investing longterm goals now exciting goals youre chasing tell us using lovefnb learn,0.15,0.65,Positive
152,congratulations lovefnb,0.0,0.0,Neutral
153,dm details,0.0,0.0,Neutral
154,made everything easier convenient safe lovefnb,0.5,0.5,Positive
155,dont carry bulky purse anymore kuyashesha lovefnb,0.0,0.0,Neutral
156,awesome makes life much easier lovefnb,0.6,0.6,Positive
157,lovefnb wow learn something different everyday bank,-0.03333333333333333,0.7333333333333334,Negative
158,toooooo,0.0,0.0,Neutral
159,lovefnb,0.0,0.0,Neutral
160,lovefnb,0.0,0.0,Neutral
161,seen group ladies thier taxi business really amazing see women growing together thriving success lovefnb,0.45000000000000007,0.45,Positive
162,yoh ro bula ya rona,0.0,0.0,Neutral
163,lovefnb,0.0,0.0,Neutral
164,congratulations lovefnb,0.0,0.0,Neutral
165,lovefnb,0.0,0.0,Neutral
166,lovefnb whaaaat really technology gets better better everyday batong fnb thinking box boss,0.25,0.44999999999999996,Positive
167,eish bank ya bo rb ga e sharp niks ka mo friend last said moved fnb poorer eish kurwef,-0.0625,0.4083333333333333,Negative
168,lovefnb,0.0,0.0,Neutral
169,lovefnb,0.0,0.0,Neutral
170,lovefnb,0.0,0.0,Neutral
171,lovefnb,0.0,0.0,Neutral
172,lovefnb,0.0,0.0,Neutral
173,lovefnb,0.0,0.0,Neutral
174,lovefnb,0.0,0.0,Neutral
175,dont wait allowance longer long queues bank lovefnb,-0.05,0.4,Negative
176,lovefnb,0.0,0.0,Neutral
177,recently opened business account online battled days went malvern jules street johannesburg helped minutes account activated ntombi absolute star thank,0.1,0.575,Positive
178,iyoweee,0.0,0.0,Neutral
179,lovefnb,0.0,0.0,Neutral
180,lovefnb,0.0,0.0,Neutral
181,lovefnb,0.0,0.0,Neutral
182,lovefnb,0.0,0.0,Neutral
183,lovefnb,0.0,0.0,Neutral
184,bare eng eng kwa sha kwa cima inini full house,0.19999999999999998,0.325,Positive
185,lovefnb oh yes,0.0,0.0,Neutral
186,congratulations,0.0,0.0,Neutral
187,,0.0,0.0,Neutral
188,say exactly,0.25,0.25,Positive
189,lady selling cakes long know growing business excellent job lovefnb,0.475,0.7,Positive
190,thank,0.0,0.0,Neutral
191,im pretoria dm,0.0,0.0,Neutral
192,deza capitec bank,0.0,0.0,Neutral
193,lovefnb gagging hair dresser superpower strong womanshe still hair business tree,0.4333333333333333,0.7333333333333333,Positive
194,absolute pleasure working malvern jules street johannesburg applying credit card never easier really assisted best way possible thats banking,0.35,0.6000000000000001,Positive
195,thank lovefnb,0.0,0.0,Neutral
196,congratulations lovefnb,0.0,0.0,Neutral
197,lovefnb,0.0,0.0,Neutral
198,morebeautysa phoshoko creates jobs empowers women lovefnb,0.0,0.0,Neutral
199,thank details sent,0.0,0.0,Neutral
200,qaluyiva,0.0,0.0,Neutral
201,congratulations,0.0,0.0,Neutral
202,lovefnb,0.0,0.0,Neutral
203,lovefnb,0.0,0.0,Neutral
204,mother raised us shop money worked hard years dayshe great business woman lovefnb,0.25416666666666665,0.6458333333333333,Positive
205,lovefnb,0.0,0.0,Neutral
206,,0.0,0.0,Neutral
207,lovefnb,0.0,0.0,Neutral
208,ba hanne mxm,0.0,0.0,Neutral
209,salute online coffee shop started covid genevieve single parent amp despite challenges covid making waves lovefnb,-0.07142857142857142,0.21428571428571427,Negative
210,airport lounge visits accumulate one year another,0.0,0.0,Neutral
211,bathong,0.0,0.0,Neutral
212,congratulations us still waiting claim,0.0,0.0,Neutral
213,,0.0,0.0,Neutral
214,congratulations,0.0,0.0,Neutral
215,catering business lovefnb,0.0,0.0,Neutral
216,deza,0.0,0.0,Neutral
217,lovefnb details sent thanks,0.2,0.2,Positive
218,respond dm bra,0.0,0.0,Neutral
219,congratulations,0.0,0.0,Neutral
220,thank much,0.2,0.2,Positive
221,definitely phenomenal always uplifting women brilliant inspirational business woman lovefnb,0.6333333333333333,0.8333333333333334,Positive
222,small business make handmade crochet custom items crochet tops earrings hats believe time effort will able grow business will able create job opportunities unemployed people lovefnb,0.25,0.5499999999999999,Positive
223,mokone congratulations,0.0,0.0,Neutral
224,will scam guys scam cant help fnbmustfall,0.0,0.0,Neutral
225,dj zinhle business watches hair shop truly find inspiration lovefnb,0.0,0.0,Neutral
226,others badrawa zaka fnb puts blast supported imbokodo success justphambili,0.3,0.0,Positive
227,congrats,0.0,0.0,Neutral
228,business well never gave lovefnb,0.0,0.0,Neutral
229,fxc hope will respond dms,0.0,0.0,Neutral
230,deza captec will stand show welcomed,0.0,0.0,Neutral
231,congratulations hoping ill still see msg saying congratulations one step closer winning voucher grinning face please dm us full name id number,0.11666666666666665,0.7666666666666666,Positive
232,lovefnb,0.0,0.0,Neutral
233,,0.0,0.0,Neutral
234,wow awesome,0.55,1.0,Positive
235,really us,0.2,0.2,Positive
236,business selling school still growing service best lovefnb,1.0,0.3,Positive
237,lovefnb,0.0,0.0,Neutral
238,m congratulations,0.0,0.0,Neutral
239,lovefnb,0.0,0.0,Neutral
240,thanks lot u really made day,0.2,0.2,Positive
241,bank good customer service especially customer care line,0.35,0.8,Positive
242,congratulations,0.0,0.0,Neutral
243,congratulations,0.0,0.0,Neutral
244,congratulations hope im next lovefnb,0.0,0.0,Neutral
245,halala,0.0,0.0,Neutral
246,will turn win,0.8,0.4,Positive
247,god bless,0.0,0.0,Neutral
248,swiitchbeauty founded girl high school dropout business turned successful motivating lovefnb,0.455,0.7449999999999999,Positive
249,kept people debit account go branch tell cant anything call center useless sham cheque account,-0.26666666666666666,0.20000000000000004,Negative
250,whats going guys cant use app,0.0,0.0,Neutral
251,gladys nice vegetables,0.6,1.0,Positive
252,yay thank much,0.2,0.2,Positive
253,congrats,0.0,0.0,Neutral
254,gladys matthew charitable deed let left hand know right hand charitable deed may secret father sees secret will reward openly,0.09795918367346941,0.5765306122448981,Positive
255,congratulations,0.0,0.0,Neutral
256,mbs little,-0.1875,0.5,Negative
257,congratulations,0.0,0.0,Neutral
258,congratulations lovefnb,0.0,0.0,Neutral
259,congrats havent received feedback sent details,0.0,0.0,Neutral
260,congratulations,0.0,0.0,Neutral
261,lovefnb,0.0,0.0,Neutral
262,congratulations,0.0,0.0,Neutral
263,scammers,0.0,0.0,Neutral
264,lovefnb,0.0,0.0,Neutral
265,congratulations sma,0.0,0.0,Neutral
266,call center useless employed people dont know understand system fnbmustfall useless bank,-0.3666666666666667,0.16666666666666666,Negative
267,congratulations,0.0,0.0,Neutral
268,onele congratulations one step closer winning voucher please dm us full name id number ts amp cs apply lovefnb,0.425,0.65,Positive
269,congratulations one step closer winning voucher please dm us full name id number ts amp cs apply lovefnb,0.425,0.65,Positive
270,congratulations one step closer winning voucher please dm us full name id number ts amp cs apply lovefnb,0.425,0.65,Positive
271,one step closer winning voucher please dm us full name id number ts amp cs apply lovefnb,0.425,0.65,Positive
272,mokone congratulations one step closer winning voucher please dm us full name id number ts amp cs apply lovefnb,0.425,0.65,Positive
273,congratulations one step closer winning voucher please dm us full name id number ts amp cs apply lovefnb,0.425,0.65,Positive
274,congratulations one step closer winning voucher please dm us full name id number ts amp cs apply lovefnb,0.425,0.65,Positive
275,congratulations one step closer winning voucher please dm us full name id number ts amp cs apply lovefnb,0.425,0.65,Positive
276,congratulations one step closer winning voucher please dm us full name id number ts amp cs apply lovefnb,0.425,0.65,Positive
277,m congratulations one step closer winning voucher please dm us full name id number ts amp cs apply lovefnb,0.425,0.65,Positive
278,reported attempted fraud yesterday absolutely response bank serious really preventing fraud,0.022222222222222237,0.5888888888888889,Positive
279,fnbmustfall cause useless bad services,-0.5999999999999999,0.43333333333333335,Negative
280,lovefnb,0.0,0.0,Neutral
281,maleka coats jackets business well growing now able take care family impressed growth lovefnb,0.75,0.8125,Positive
282,nominate sne self employed young woman sne poultry farm business started har business good sne poultry farm facebook lovefnb,0.39999999999999997,0.5,Positive
283,useless comes helping premium member call center useless system using useless manager dont take calls clients,-0.4,0.175,Negative
284,tlc lathitha construction project lm black southafrican young woman male dominated industry changing narrative lovefnb womensmonth,-0.022222222222222216,0.3111111111111111,Negative
285,receiving emails gmail account yesterday nothing bank suspect someone incorrectly used gmail missed numbers tried emailing infocoza doesnt work fix,0.0,0.0,Neutral
286,call centre useless premium account still hold mins,-0.5,0.2,Negative
287,need train staff better comes trusts theres guy branch braam always saves day call center dobsonvile branch,0.2,0.3,Positive
288,sister selling vatkkoekfat cake street well business growing lovefnb,0.0,0.0,Neutral
289,,0.0,0.0,Neutral
290,mahlangu achar business amazing work hope business grows bigger lovefnb,0.30000000000000004,0.7,Positive
291,lady started salon back home now two operating places towns lovefnb,0.0,0.0,Neutral
292,lovefnb,0.0,0.0,Neutral
293,lovefnb,0.0,0.0,Neutral
294,womenpower lovefnb,0.0,0.0,Neutral
295,nail technician offers best service cosmetic brand love lovefnb,0.5333333333333333,0.3,Positive
296,,0.0,0.0,Neutral
