,tweet,polarity,subjectivity,Sentiment
0,fnb easy account way convenient send receive money pay accounts swipe access ewallets apply instant loans queues hassles thanks love,0.2833333333333333,0.575,Positive
1,fees starting go swana letsa much now july august,0.1,0.15000000000000002,Positive
2,fnb easy zero makes life much convenient,0.31666666666666665,0.5166666666666667,Positive
3,final game opening round expect fireworks defending champs take sport orange army watch live follow updates varsity sports app proudly brought,0.06727272727272726,0.6599999999999999,Positive
4,happening now opening game campaign takes tuks stadium kick h live amp,-0.13181818181818183,0.45,Negative
5,making payments free withdrawals till,0.4,0.8,Positive
6,full time late goal red machine evens score end much anticipated clash two varsity football titans tut tuks proudly brought,0.21000000000000002,0.4699999999999999,Positive
9,easy zero,0.43333333333333335,0.8333333333333334,Positive
10,easy account,0.43333333333333335,0.8333333333333334,Positive
14,yes withdrawing cash till much safer convenient less banking fees,0.016666666666666677,0.13333333333333333,Positive
19,fnb easy zero account helping bank bank stress free extra monthly fees,0.2777777777777778,0.5777777777777778,Positive
20,idea app working,0.0,0.0,Neutral
21,wooooow iam happy,0.8,1.0,Positive
24,feeling score opening goal tournament earn player match award take bow sello diphoko,0.0,0.0,Neutral
26,well think terry beautiful lady fnb great service,0.825,0.875,Positive
27,lost now,0.0,0.0,Neutral
28,lol ad fnb tweet promoted twitter banking,0.8,0.7,Positive
29,easy zero,0.43333333333333335,0.8333333333333334,Positive
30,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
31,ukznfc,0.0,0.0,Neutral
32,nope havent heard ill definitely start using,-0.25,0.75,Negative
33,paid fnb aow jesu u buya nini,0.0,0.0,Neutral
34,using fnb easy zero account,0.43333333333333335,0.8333333333333334,Positive
35,shares buy share zero,0.0,0.0,Neutral
36,full time risen occasion opened account victory ukzn first game tournament ukzn ufs proudly brought,0.25,0.5708333333333333,Positive
37,current account,0.0,0.4,Neutral
38,score,0.0,0.0,Neutral
39,dont care shit fuck seeing,-0.30000000000000004,0.7,Negative
40,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
41,lol fart paid,0.8,0.7,Positive
42,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
43,well deserved,0.0,0.0,Neutral
44,congratulations welcome masemola scored brace opening game collects player match award contribution wits victory vut,0.2,0.65,Positive
45,fnb easy zero account,0.43333333333333335,0.8333333333333334,Positive
46,im avid gamer ive playing lotto games happily app years now thank fnb adding daily lotto,0.35000000000000003,0.6666666666666666,Positive
47,oh oscar winning dont started international projects arent standard sanc screens saying,0.16666666666666666,0.25,Positive
48,received pops morning transactions please advise urgently service provider waiting one,0.0,0.0,Neutral
49,sell product quick efficient comes paying send pillar post poor service ive received regarding claim payment within hours claim scam,-0.033333333333333354,0.55,Negative
51,fnb easy zero acc,0.43333333333333335,0.8333333333333334,Positive
52,online theres young coach love work grow portfolio hala homie,0.3,0.5,Positive
53,awesome,1.0,1.0,Positive
54,fnb private wealth accounts makes things easier,0.0,0.375,Neutral
55,fnb pay u use account,0.0,0.0,Neutral
56,fnb easy zero,0.43333333333333335,0.8333333333333334,Positive
57,sanity,0.0,0.0,Neutral
58,rapati,0.0,0.0,Neutral
59,fnb easy zero,0.43333333333333335,0.8333333333333334,Positive
60,ba eja bale ba promo ya south african celebrities,0.0,0.0,Neutral
61,fnb premier cheque accounti yonke app zonke save time stress free,0.4,0.8,Positive
62,fnb eazy zero worries crazy bank charges transactional charges means money save,-0.6,0.9,Negative
63,thank got sa voucher im excited rn,0.375,0.75,Positive
64,easy zero banking card happy times free charges using card finally reached good target linked current aspire card really need ewallet buying airtime electricity,0.3619047619047619,0.6904761904761907,Positive
65,full time open campaign comfortable win keep clean sheet wits vut proudly brought,0.4527777777777778,0.6583333333333333,Positive
66,hun yep reflect quicker,0.0,0.0,Neutral
67,hey call centre services fucking joke,-0.6,0.8,Negative
68,capitec,0.0,0.0,Neutral
70,quiet annoyed cape gate mall simple service takes forever imagine waiting long replace bank card bank empty consultants walking around better way past days sitting bank whole day,-0.012500000000000004,0.4425595238095238,Negative
73,huge game next opening day two university powerhouses will battle expected affair red machine stripe generation watch live proudly brought,0.11948051948051949,0.4571428571428572,Positive
74,private clients acc o tell airport lounge chow b take,0.0,0.375,Neutral
75,fnb easy account know pay easily use cellphone app day day banking,0.43333333333333335,0.8333333333333334,Positive
76,gold card im open anything transactions need isnt expensive,-0.25,0.6,Negative
77,tye best feature withdrawing till shopping saves time avoids queues,1.0,0.3,Positive
78,amazing service vela mthimkhulu fnb rosebank branch jhb wonderful soul efficient helpful courteous kind great asset thank vela,0.7200000000000001,0.9099999999999999,Positive
79,well ofcourse easy account cost effective easy online banking app well savings pocket chyle,0.4888888888888889,0.8222222222222223,Positive
80,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
81,fnb easy zero account,0.43333333333333335,0.8333333333333334,Positive
82,day moneymarket account,0.0,0.0,Neutral
83,fnb easy zero account,0.43333333333333335,0.8333333333333334,Positive
84,im fnb cheque account loving,0.6,0.95,Positive
85,worse service everyone keeps transferring without wanting take ownership resolve issue want open new business account expected bank pathetic,-0.27272727272727276,0.5909090909090909,Negative
86,fnb easy zero account,0.43333333333333335,0.8333333333333334,Positive
87,worst service poor telephone lines everyone transferring nobody willing take ownership want open business account pathetic expected better bank,-0.25,0.6785714285714286,Negative
88,sho audacity demanding client pay back million hacked account withdrawal limit client tied year court battle judge peterson stated fnb compromised computer system,0.0,0.0,Neutral
89,morake first terry pheto now morake,0.25,0.3333333333333333,Positive
90,havent tried itbut someone always road always close atm sounds amazing definitely times ill choose option convenience safety speediness especially local,0.025000000000000022,0.6,Positive
92,fnb fusion premier account amp credit card,0.0,0.0,Neutral
93,second game day underway tuks b field uzkn taking ufs game isnt televised follow updates varsity sports app proudly brought,0.0,0.45,Neutral
99,fnb easy zero account,0.43333333333333335,0.8333333333333334,Positive
101,easy zero account best amp love fnb,0.6444444444444445,0.5777777777777778,Positive
103,saving account,0.0,0.0,Neutral
104,online kopa o jwetse pakiso ang vothe hlem set pieces,0.0,0.0,Neutral
105,always prefer withdraw till shoprite checkers,0.0,0.0,Neutral
106,fnb easy zero account good account save money charges,0.5666666666666667,0.7166666666666668,Positive
107,yet,0.0,0.0,Neutral
108,easy account much convenience,0.31666666666666665,0.5166666666666667,Positive
109,fnb easy zero,0.43333333333333335,0.8333333333333334,Positive
110,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
111,yawn,0.0,0.0,Neutral
112,awesome,1.0,1.0,Positive
114,thanks lot sad bank even care even interested helping,-0.016666666666666663,0.5666666666666667,Negative
115,fnb easy zero acc,0.43333333333333335,0.8333333333333334,Positive
116,fnb aspire current enjoy fee savings benefits convenience stress free,0.26666666666666666,0.5666666666666668,Positive
118,assisted arinao ramashia went give best service friendly person assisted smile im glad went thavhani mall branch,0.54375,0.475,Positive
119,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
120,great,0.8,0.75,Positive
121,yay thank much will now,0.2,0.2,Positive
122,date booked biometrics fnb portside lockdown happened called told come branchno help new datehe waiting passport come uk told book date online pay please assist,0.13636363636363635,0.45454545454545453,Positive
123,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
124,im switching capitec cause think pm bank charges offer black card lo behold th day now want proof banking capitecreally holding clients hostage now value proposition,-0.16666666666666666,0.43333333333333335,Negative
127,admin line ups please,0.0,0.0,Neutral
130,credit card account,0.0,0.0,Neutral
131,cheque account,0.0,0.0,Neutral
132,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
133,got excellent service thavhani mall arinao ramashia,1.0,1.0,Positive
134,team think will win castle lager lions series choice let us know official springboks british amp irish lions jersey,0.26666666666666666,0.13333333333333333,Positive
135,thanks im think will score epic try springboks vs british amp irish lions battle amp stand chance official springboks british amp irish lions jersey,0.05000000000000001,0.10000000000000002,Positive
136,final score st test tell us think final score st test won sa lions series amp signed british amp irish lions jersey,0.0,0.5,Neutral
137,kicked winning penalty lions series think amp signed springboks jersey,0.5,0.75,Positive
138,awesome,1.0,1.0,Positive
139,im banking easy account,0.43333333333333335,0.8333333333333334,Positive
140,currently using fnby next transact account convenient student zero monthly charges unlimited withdrawals extra charge able save much,0.13999999999999999,0.265,Positive
141,easy account credit card,0.43333333333333335,0.8333333333333334,Positive
144,fnb must paying well tweet,0.0,0.0,Neutral
146,longer getting discount local flights,0.0,0.0,Neutral
147,fingers crossed,0.0,0.0,Neutral
150,easy zero account,0.43333333333333335,0.8333333333333334,Positive
151,incredible indeed continue enjoying benefits ebucks bank fully comprehend people interests love,0.6333333333333333,0.7000000000000001,Positive
153,using fnb easy zero account fantastic saves alot time convenient monthly account fees makes banking stress free,0.41111111111111115,0.8444444444444444,Positive
154,fnb easy zero,0.43333333333333335,0.8333333333333334,Positive
155,awesome,1.0,1.0,Positive
157,help putting someone needs assisting without expecting anything return giving freely without judgment motivating someone better help someone last hope,0.3,0.45555555555555555,Positive
158,send details still quite,0.0,0.0,Neutral
160,help putting someone needs assisting without expecting anything return giving freely without judgment motivating someone better help someone last hope,0.3,0.45555555555555555,Positive
161,dm u,0.0,0.0,Neutral
162,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
163,called fnb customer service twice monday left messages agents one called disappointed,-0.375,0.375,Negative
164,savings account,0.0,0.0,Neutral
167,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
168,ive got,0.0,0.0,Neutral
169,nedbank,0.0,0.0,Neutral
170,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
171,awsome done thank,0.0,0.0,Neutral
172,fnb easy account,0.43333333333333335,0.8333333333333334,Positive
173,awesome thanks fnb,0.6,0.6,Positive
174,im using fnb easy account smart app life easy now simply make bill payments app without leaving home,0.2702380952380953,0.6666666666666667,Positive
175,open ended case fnb via rbjacobs ended moving banking nedbank wooow fnb tweeter banking,0.0,0.5,Neutral
